pageid,bin_death_index,ma,diff_percent
536880,96,5433,2.97
536880,97,5773,3.21
536880,98,5945,3.34
536880,99,6066,3.43
536880,100,6141,3.48
536880,101,5441,2.97
536880,102,4565,2.33
536880,103,3883,1.83
536880,104,3872,1.83
536880,105,3733,1.72
536880,106,3683,1.69
536880,107,3633,1.65
536880,108,3610,1.64
536880,109,3651,1.66
536880,110,3535,1.58
536880,111,3206,1.34
536880,112,3157,1.30
536880,113,3115,1.27
536880,114,3088,1.25
536880,115,3079,1.25
536880,116,3069,1.24
536880,117,3104,1.27
536880,118,3121,1.28
536880,119,3143,1.29
536880,120,3253,1.37
233249,30,2065,3.03
233249,31,2057,3.01
233249,32,2069,3.04
233249,33,1896,2.70
233249,34,1797,2.51
233249,35,1723,2.36
233249,36,1618,2.16
233249,37,1612,2.15
233249,38,1623,2.17
233249,39,1596,2.11
233249,40,1691,2.30
233249,41,1697,2.31
233249,42,1670,2.26
233249,43,1695,2.31
233249,44,1691,2.30
233249,45,1651,2.22
233249,46,1804,2.52
233249,47,2082,3.06
233249,48,2163,3.22
233249,49,2237,3.36
233249,50,2229,3.35
233249,51,2100,3.10
233249,52,2085,3.07
233249,53,1978,2.86
233249,54,1716,2.35
233249,55,1602,2.13
233249,56,1539,2.00
233249,57,1440,1.81
233249,58,1505,1.94
233249,59,1504,1.93
233249,60,1646,2.21
233249,61,1747,2.41
233249,62,1842,2.59
233249,63,1862,2.63
233249,64,1857,2.62
233249,65,1793,2.50
233249,66,1720,2.36
233249,67,1447,1.82
233249,68,1207,1.36
233249,69,1121,1.19
233249,70,1072,1.09
233249,71,1059,1.07
233249,72,1054,1.06
233249,73,1029,1.01
233249,74,1008,0.97
233249,75,1029,1.01
233249,76,1420,1.77
233249,77,1492,1.91
233249,78,1558,2.04
233249,79,1538,2.00
233249,80,1844,2.60
233249,81,3053,4.96
233249,82,3818,6.45
233249,83,3635,6.09
233249,84,3709,6.24
233249,85,3709,6.24
233249,86,3744,6.31
233249,87,3441,5.71
233249,88,2282,3.45
233249,89,1531,1.99
233249,90,1377,1.69
233249,91,1248,1.44
233249,92,1200,1.34
233249,93,1174,1.29
233249,94,1159,1.26
233249,95,1099,1.14
233249,96,1046,1.04
233249,97,1007,0.96
233249,98,1304,1.54
233249,99,1372,1.68
233249,100,1499,1.92
233249,101,1583,2.09
233249,102,1824,2.56
233249,103,2010,2.92
233249,104,3930,6.67
233249,105,4598,7.97
233249,106,4672,8.12
233249,107,4607,7.99
